customer_id,first_name,last_name,email,city,age,gender,registered_at
1,Name_1,Surname_1,user1@shop.ru,Rostov,21,M,2022-01-01 00:00:00
2,Name_2,Surname_2,user2@shop.ru,Ufa,42,M,2022-01-01 12:00:00
3,Name_3,Surname_3,user3@shop.ru,Perm,34,M,2022-01-02 00:00:00
4,Name_4,Surname_4,user4@shop.ru,Rostov,23,F,2022-01-02 12:00:00
5,Name_5,Surname_5,user5@shop.ru,Moscow,36,M,2022-01-03 00:00:00
6,Name_6,Surname_6,user6@shop.ru,Perm,46,M,2022-01-03 12:00:00
7,Name_7,Surname_7,user7@shop.ru,SPB,44,F,2022-01-04 00:00:00
8,Name_8,Surname_8,user8@shop.ru,Perm,18,M,2022-01-04 12:00:00
9,Name_9,Surname_9,user9@shop.ru,SPB,60,M,2022-01-05 00:00:00
10,Name_10,Surname_10,user10@shop.ru,SPB,63,M,2022-01-05 12:00:00
11,Name_11,Surname_11,user11@shop.ru,Krasnodar,58,F,2022-01-06 00:00:00
12,Name_12,Surname_12,user12@shop.ru,Moscow,40,M,2022-01-06 12:00:00
13,Name_13,Surname_13,user13@shop.ru,Krasnodar,35,M,2022-01-07 00:00:00
14,Name_14,Surname_14,user14@shop.ru,Ufa,18,F,2022-01-07 12:00:00
15,Name_15,Surname_15,user15@shop.ru,Kazan,61,M,2022-01-08 00:00:00
16,Name_16,Surname_16,user16@shop.ru,Kazan,22,F,2022-01-08 12:00:00
17,Name_17,Surname_17,user17@shop.ru,Kazan,52,F,2022-01-09 00:00:00
18,Name_18,Surname_18,user18@shop.ru,Rostov,40,M,2022-01-09 12:00:00
19,Name_19,Surname_19,user19@shop.ru,Ufa,52,F,2022-01-10 00:00:00
20,Name_20,Surname_20,user20@shop.ru,NSK,57,M,2022-01-10 12:00:00
21,Name_21,Surname_21,user21@shop.ru,Volgograd,40,M,2022-01-11 00:00:00
22,Name_22,Surname_22,user22@shop.ru,Perm,32,F,2022-01-11 12:00:00
23,Name_23,Surname_23,user23@shop.ru,Volgograd,39,M,2022-01-12 00:00:00
24,Name_24,Surname_24,user24@shop.ru,NSK,20,M,2022-01-12 12:00:00
25,Name_25,Surname_25,user25@shop.ru,Rostov,64,M,2022-01-13 00:00:00
26,Name_26,Surname_26,user26@shop.ru,Ufa,58,M,2022-01-13 12:00:00
27,Name_27,Surname_27,user27@shop.ru,Ekb,43,M,2022-01-14 00:00:00
28,Name_28,Surname_28,user28@shop.ru,Ekb,64,F,2022-01-14 12:00:00
29,Name_29,Surname_29,user29@shop.ru,Perm,59,M,2022-01-15 00:00:00
30,Name_30,Surname_30,user30@shop.ru,NSK,48,M,2022-01-15 12:00:00
31,Name_31,Surname_31,user31@shop.ru,Krasnodar,20,M,2022-01-16 00:00:00
32,Name_32,Surname_32,user32@shop.ru,Moscow,34,F,2022-01-16 12:00:00
33,Name_33,Surname_33,user33@shop.ru,Rostov,56,M,2022-01-17 00:00:00
34,Name_34,Surname_34,user34@shop.ru,Ekb,62,M,2022-01-17 12:00:00
35,Name_35,Surname_35,user35@shop.ru,SPB,46,M,2022-01-18 00:00:00
36,Name_36,Surname_36,user36@shop.ru,Volgograd,47,F,2022-01-18 12:00:00
37,Name_37,Surname_37,user37@shop.ru,Moscow,37,M,2022-01-19 00:00:00
38,Name_38,Surname_38,user38@shop.ru,Rostov,27,M,2022-01-19 12:00:00
39,Name_39,Surname_39,user39@shop.ru,Ekb,19,M,2022-01-20 00:00:00
40,Name_40,Surname_40,user40@shop.ru,Ekb,22,M,2022-01-20 12:00:00
41,Name_41,Surname_41,user41@shop.ru,Volgograd,36,M,2022-01-21 00:00:00
42,Name_42,Surname_42,user42@shop.ru,NSK,24,M,2022-01-21 12:00:00
43,Name_43,Surname_43,user43@shop.ru,Rostov,27,F,2022-01-22 00:00:00
44,Name_44,Surname_44,user44@shop.ru,Moscow,46,F,2022-01-22 12:00:00
45,Name_45,Surname_45,user45@shop.ru,Rostov,61,F,2022-01-23 00:00:00
46,Name_46,Surname_46,user46@shop.ru,Rostov,45,M,2022-01-23 12:00:00
47,Name_47,Surname_47,user47@shop.ru,Ufa,57,F,2022-01-24 00:00:00
