user_id,user_name,email,city,registration_date,total_orders,total_spent,avg_order_value,last_order_date,segment
35,user_35,user35@test.com,KAZAN,2024-02-04,5,16357.0,3271.4,2024-02-24 12:00:00,Regular
7,user_7,user7@test.com,KAZAN,2024-01-07,4,10215.0,2553.75,2024-02-28 06:00:00,Regular
72,user_72,user72@test.com,SPB,2024-03-12,2,9233.0,4616.5,2024-01-25 09:00:00,New
15,user_15,user15@test.com,SPB,2024-01-15,3,6550.0,2183.3333333333335,2024-02-12 06:00:00,New
59,user_59,user59@test.com,KAZAN,2024-02-28,4,13644.0,3411.0,2024-01-19 09:00:00,Regular
22,user_22,user22@test.com,MOSCOW,2024-01-22,3,7074.0,2358.0,2024-02-18 00:00:00,New
49,user_49,user49@test.com,SPB,2024-02-18,3,7846.0,2615.3333333333335,2024-03-01 00:00:00,New
34,user_34,user34@test.com,SPB,2024-02-03,1,2543.0,2543.0,2024-02-28 03:00:00,New
73,user_73,user73@test.com,SPB,2024-03-13,0,0.0,0.0,,New
63,user_63,user63@test.com,SPB,2024-03-03,4,9975.0,2493.75,2024-02-17 18:00:00,New
48,user_48,user48@test.com,MOSCOW,2024-02-17,7,17367.0,2481.0,2024-02-17 00:00:00,Regular
36,user_36,user36@test.com,SPB,2024-02-05,4,11195.0,2798.75,2024-02-29 06:00:00,Regular
87,user_87,user87@test.com,KAZAN,2024-03-27,2,5849.0,2924.5,2024-02-09 12:00:00,New
53,user_53,user53@test.com,SPB,2024-02-22,2,3172.0,1586.0,2024-02-12 21:00:00,New
24,user_24,user24@test.com,SPB,2024-01-24,6,14449.0,2408.1666666666665,2024-03-01 15:00:00,Regular
93,user_93,user93@test.com,MOSCOW,2024-04-02,6,15401.0,2566.8333333333335,2024-02-27 15:00:00,Regular
23,user_23,user23@test.com,SPB,2024-01-23,6,9931.0,1655.1666666666667,2024-03-02 15:00:00,New
77,user_77,user77@test.com,SPB,2024-03-17,2,4161.0,2080.5,2024-01-11 06:00:00,New
57,user_57,user57@test.com,KAZAN,2024-02-26,4,11797.0,2949.25,2024-02-19 00:00:00,Regular
58,user_58,user58@test.com,MOSCOW,2024-02-27,6,13079.0,2179.8333333333335,2024-02-22 12:00:00,Regular
89,user_89,user89@test.com,SPB,2024-03-29,4,12105.0,3026.25,2024-03-02 18:00:00,Regular
50,user_50,user50@test.com,SPB,2024-02-19,3,6479.0,2159.6666666666665,2024-02-24 09:00:00,New
