user_id,email,city,channel,created_at
1,user1@example.com,NOVOSIBIRSK,organic,2023-10-06
2,user2@example.com,KAZAN,organic,2023-04-26
3,user3@example.com,KAZAN,paid,2023-11-28
4,user4@example.com,SPB,paid,2023-03-18
5,user5@example.com,NOVOSIBIRSK,paid,2023-05-17
6,user6@example.com,YEKATERINBURG,referral,2023-03-14
7,user7@example.com,KAZAN,paid,2023-02-06
8,user8@example.com,YEKATERINBURG,paid,2023-01-31
9,user9@example.com,KAZAN,organic,2023-03-26
10,user10@example.com,YEKATERINBURG,organic,2023-06-07
11,user11@example.com,NOVOSIBIRSK,organic,2023-11-01
12,user12@example.com,SPB,organic,2023-10-19
13,user13@example.com,NOVOSIBIRSK,paid,2023-05-28
14,user14@example.com,MOSCOW,organic,2023-08-13
15,user15@example.com,SPB,organic,2023-03-05
16,user16@example.com,NOVOSIBIRSK,organic,2023-08-28
17,user17@example.com,MOSCOW,social,2023-12-19
18,user18@example.com,KAZAN,social,2023-06-05
19,user19@example.com,KAZAN,paid,2023-12-25
20,user20@example.com,YEKATERINBURG,social,2023-07-26
21,user21@example.com,SPB,referral,2023-05-20
22,user22@example.com,KAZAN,paid,2023-09-14
23,user23@example.com,SPB,organic,2023-10-04
24,user24@example.com,KAZAN,referral,2023-09-10
25,user25@example.com,YEKATERINBURG,referral,2023-08-13
26,user26@example.com,NOVOSIBIRSK,paid,2023-02-11
27,user27@example.com,YEKATERINBURG,referral,2023-11-03
28,user28@example.com,MOSCOW,paid,2023-01-21
29,user29@example.com,KAZAN,referral,2023-08-10
30,user30@example.com,MOSCOW,social,2023-06-15
31,user31@example.com,MOSCOW,organic,2023-11-06
32,user32@example.com,SPB,referral,2023-05-09
33,user33@example.com,KAZAN,paid,2023-01-14
34,user34@example.com,MOSCOW,paid,2023-02-16
35,user35@example.com,NOVOSIBIRSK,referral,2023-04-28
36,user36@example.com,MOSCOW,organic,2023-12-12
37,user37@example.com,NOVOSIBIRSK,paid,2023-10-22
38,user38@example.com,SPB,organic,2023-10-28
39,user39@example.com,MOSCOW,paid,2023-01-11
40,user40@example.com,YEKATERINBURG,paid,2023-12-11
41,user41@example.com,SPB,referral,2023-05-18
42,user42@example.com,NOVOSIBIRSK,organic,2023-10-23
43,user43@example.com,SPB,paid,2023-01-21
44,user44@example.com,MOSCOW,organic,2023-03-31
45,user45@example.com,KAZAN,referral,2023-08-29
46,user46@example.com,KAZAN,social,2023-09-23
47,user47@example.com,NOVOSIBIRSK,social,2023-11-30
